sku,description,pkg,price,section,page,medlineBrand,rawLine
"1163","Medline Super Soft Adult Toothbrush Soft bristles are gentle on teeth and gums. Contoured handle. Wrapped.","1 Ct","$2.00","Oral Care","23","true","Medline Super Soft Adult Toothbrush Soft bristles are gentle on teeth and gums. Contoured handle. Wrapped. 1 Ct 1163 $2.00"
"1192","Capsaicin Analgesic Pain Relief Cream 2.1 oz. Penetrates skin to provide targeted arthritis, muscle, joint pain relief.","2.1 Oz","$10.00","Pain & Fever Relief","15","false","Capsaicin Analgesic Pain Relief Cream 2.1 oz. Penetrates skin to provide targeted arthritis, muscle, joint pain relief. 2.1 Oz 1192 $10.00"
"1202","Miconazole Nitrate 2% 7-Day Vaginal Cream Compare to the active ingredients in Monistat 7.","1 Ct","$10.00","Eye Care","21","false","Miconazole Nitrate 2% 7-Day Vaginal Cream Compare to the active ingredients in Monistat 7. 1 Ct 1202 $10.00"
"1218","Reg Strength Alkum Antacid Chewable Tablets 500 mg Compare to the active ingredients in Tums. Assorted fruit flavors.","150 Ct","$5.00","Stomach Remedies","16","false","Reg Strength Alkum Antacid Chewable Tablets 500 mg Compare to the active ingredients in Tums. Assorted fruit flavors. 150 Ct 1218 $5.00"
"1222","Ultra Calcium Carbonate Antacid Soft Chews 1177 mg Fast-acting relief of heartburn, sour stomach, acid indigestion. Cherry flavor.","1 Ct","$10.00","Stomach Remedies","17","false","Ultra Calcium Carbonate Antacid Soft Chews 1177 mg Fast-acting relief of heartburn, sour stomach, acid indigestion. Cherry flavor. 1 Ct 1222 $10.00"
"1245","Medline Remedy Miconazole Antifungal Powder 3 oz. Helps relieve itching and burning. Light vanilla scent.","3 Oz","$10.00","Allergy & Sinus","12","true","Medline Remedy Miconazole Antifungal Powder 3 oz. Helps relieve itching and burning. Light vanilla scent. 3 Oz 1245 $10.00"
"1246","Medline Remedy Clinical Skin Cream 8 oz. Hydrates for 24 hours with no greasy residue. Vanilla scent.","8 Oz","$5.00","Skin Care + Hair Care","25","true","Medline Remedy Clinical Skin Cream 8 oz. Hydrates for 24 hours with no greasy residue. Vanilla scent. 8 Oz 1246 $5.00"
"1250","Medline Remedy Essentials Body Lotion 8 oz. Rubs in easily with no greasy feel. Fresh scent.","8 Oz","$5.00","Skin Care + Hair Care","25","true","Medline Remedy Essentials Body Lotion 8 oz. Rubs in easily with no greasy feel. Fresh scent. 8 Oz 1250 $5.00"
"1251","MyDerm Aloe Gel Lidocaine Pain Reliever 8 oz. Cooling sunburn, insect bite and minor burn relief.","1 Ct","$5.00","Sunscreens","26","false","MyDerm Aloe Gel Lidocaine Pain Reliever 8 oz. Cooling sunburn, insect bite and minor burn relief. 1 Ct 1251 $5.00"
"1252","Solar Screen SPF 30 Ultra Sunscreen Lotion 8 oz. Compare to the active ingredients in Coppertone Ultra Guard Sunscreen Lotion.","8 Oz","$10.00","Sunscreens","26","false","Solar Screen SPF 30 Ultra Sunscreen Lotion 8 oz. Compare to the active ingredients in Coppertone Ultra Guard Sunscreen Lotion. 8 Oz 1252 $10.00"
"1267","Healthy Eyes Multivitamin Mineral Lutein Tablets Compare to the active ingredients in Ocuvite with Lutein.","60 Ct","$10.00","Daily Living Aids","31","false","Healthy Eyes Multivitamin Mineral Lutein Tablets Compare to the active ingredients in Ocuvite with Lutein. 60 Ct 1267 $10.00"
"1269","Ferrous Sulfate Iron Tablets 325 mg Each tablet provides 65 mg elemental iron from 325 mg ferrous sulfate.","100 Ct","$6.00","Daily Living Aids","31","false","Ferrous Sulfate Iron Tablets 325 mg Each tablet provides 65 mg elemental iron from 325 mg ferrous sulfate. 100 Ct 1269 $6.00"
"1275","PlusPharma Melatonin Tablets 5 mg Dietary supplement.","30 Ct","$5.00","Daily Living Aids","32","false","PlusPharma Melatonin Tablets 5 mg Dietary supplement. 30 Ct 1275 $5.00"
"1276","Multivitamins Sentry Multivitamin & Mineral Tablets Compare to the active ingredients in Centrum Adults.","130 Ct","$10.00","Daily Living Aids","31","false","Multivitamins Sentry Multivitamin & Mineral Tablets Compare to the active ingredients in Centrum Adults. 130 Ct 1276 $10.00"
"1291","Vitamin B12 Tablets 500 mcg With 54 mg calcium and 42 mg phosphorous.","100 Ct","$10.00","Daily Living Aids","30","false","Vitamin B12 Tablets 500 mcg With 54 mg calcium and 42 mg phosphorous. 100 Ct 1291 $10.00"
"1297","GeriCare Vitamin E Softgels 180 mg Dietary supplement. 180 mg (400 IU).","100 Ct","$10.00","Daily Living Aids","30","false","GeriCare Vitamin E Softgels 180 mg Dietary supplement. 180 mg (400 IU). 100 Ct 1297 $10.00"
"1427","Medline Premium Disposable Polymer Underpads Premium protection for wheelchairs, beds, more. 30” x 30”.","10 Ct","$10.00","Underpads","11","true","Medline Premium Disposable Polymer Underpads Premium protection for wheelchairs, beds, more. 30” x 30”. 10 Ct 1427 $10.00"
"1442","Medline Gel Toe Straighteners Helps align big toe.","4 Ct","$10.00","Foot Care","22","true","Medline Gel Toe Straighteners Helps align big toe. 4 Ct 1442 $10.00"
"1479","Aim Cavity Protection Gel Toothpaste 5.5 oz. Cleans, freshens and protects. Ultra mint.","1 Ct","$5.00","Oral Care","24","false","Aim Cavity Protection Gel Toothpaste 5.5 oz. Cleans, freshens and protects. Ultra mint. 1 Ct 1479 $5.00"
"1483","Biotene Dry Mouth Fluoride Toothpaste 4.3 oz. Fresh mint original flavor.","1 Ct","$14.50","Oral Care","24","false","Biotene Dry Mouth Fluoride Toothpaste 4.3 oz. Fresh mint original flavor. 1 Ct 1483 $14.50"
"1485","FreshMint Denture Adhesive 2 oz. Compare to Fixodent Original.","1 Ct","$5.00","Oral Care","22","false","FreshMint Denture Adhesive 2 oz. Compare to Fixodent Original. 1 Ct 1485 $5.00"
"1487","GUM Proxabrush Go-Betweens Teeth Cleaners Triangle-shape bristles help remove more plaque.","10 Ct","$6.00","Oral Care","22","false","GUM Proxabrush Go-Betweens Teeth Cleaners Triangle-shape bristles help remove more plaque. 10 Ct 1487 $6.00"
"1491","GoodSense Lip Balm SPF 15. Compare to the active ingredients in ChapStick.","1 Ct","$5.00","Foot Care","22","false","GoodSense Lip Balm SPF 15. Compare to the active ingredients in ChapStick. 1 Ct 1491 $5.00"
"1494","Fresh Mint Sensitive Teeth Toothpaste 4.3 oz. Compare to the active ingredients in Sensodyne Fresh Mint.","1 Ct","$5.00","Oral Care","24","false","Fresh Mint Sensitive Teeth Toothpaste 4.3 oz. Compare to the active ingredients in Sensodyne Fresh Mint. 1 Ct 1494 $5.00"
"1518","Medline Remedy Clinical Skin Cream 16 oz. Hydrates for 24 hours with no greasy residue. Vanilla scent.","16 Oz","$13.50","Skin Care + Hair Care","25","true","Medline Remedy Clinical Skin Cream 16 oz. Hydrates for 24 hours with no greasy residue. Vanilla scent. 16 Oz 1518 $13.50"
"1527","GoodSense SPF 50 Sunscreen Lotion 8 oz. Compare to the active ingredients in Coppertone.","8 Oz","$10.00","Sunscreens","26","false","GoodSense SPF 50 Sunscreen Lotion 8 oz. Compare to the active ingredients in Coppertone. 8 Oz 1527 $10.00"
"1638","CURAD QuickStop! Flex-Fabric Bandages Helps stop minor bleeding fast. Small and medium sizes.","30 Ct","$5.00","Bandages","7","false","CURAD QuickStop! Flex-Fabric Bandages Helps stop minor bleeding fast. Small and medium sizes. 30 Ct 1638 $5.00"
"1639","CURAD Hot or Cold Therapy Water Bottle 2 qt. Flexible, ridged rubber conforms to contours.","1 Ct","$10.00","Daily Living Aids","28","false","CURAD Hot or Cold Therapy Water Bottle 2 qt. Flexible, ridged rubber conforms to contours. 1 Ct 1639 $10.00"
"1642","CURAD Flex-Fabric Adhesive Bandages Fingertip Seals out dirt. Conforms to contours and moves with you. 2” x 1.75” fingertip shape.","100 Ct","$6.00","Bandages","6","false","CURAD Flex-Fabric Adhesive Bandages Fingertip Seals out dirt. Conforms to contours and moves with you. 2” x 1.75” fingertip shape. 100 Ct 1642 $6.00"
"1643","GoodSense Extra Strength Medicated Cold/Hot Patch Compare to the active ingredient in Icy Hot. 3.14” x 4.72”.","5 Ct","$5.00","Pain & Fever Relief","16","false","GoodSense Extra Strength Medicated Cold/Hot Patch Compare to the active ingredient in Icy Hot. 3.14” x 4.72”. 5 Ct 1643 $5.00"
"1644","Medi-First Insect Sting Relief Pads Premoistened wipes with 50% ethyl alcohol, 2% lidocaine.","10 Ct","$10.00","Pain & Fever Relief","14","false","Medi-First Insect Sting Relief Pads Premoistened wipes with 50% ethyl alcohol, 2% lidocaine. 10 Ct 1644 $10.00"
"1646","MyDerm Bite Relief Benzocaine Ointment 1.75 oz. Non-greasy formula with soothing aloe and chamomile.","1.75 Oz","$10.00","Pain & Fever Relief","14","false","MyDerm Bite Relief Benzocaine Ointment 1.75 oz. Non-greasy formula with soothing aloe and chamomile. 1.75 Oz 1646 $10.00"
"1707","Hemorrhoid Hygiene Pads with Witch Hazel Cooling & soothing relief from burning and itching.","100 Ct","$10.00","Pain & Fever Relief","15","false","Hemorrhoid Hygiene Pads with Witch Hazel Cooling & soothing relief from burning and itching. 100 Ct 1707 $10.00"
"1711","Ice Blue 2% Menthol Pain Relieving Gel 16 oz. Compare to the active ingredients in Mineral Ice.","16 Oz","$10.00","Pain & Fever Relief","15","false","Ice Blue 2% Menthol Pain Relieving Gel 16 oz. Compare to the active ingredients in Mineral Ice. 16 Oz 1711 $10.00"
"1712","Beyond BodiHeat 12-Hour Pain Relief Heat Pads Soothes and comforts sore muscles. Use over clothing only. 3.75” x 5.125”.","4 Ct","$5.00","Pain & Fever Relief","16","false","Beyond BodiHeat 12-Hour Pain Relief Heat Pads Soothes and comforts sore muscles. Use over clothing only. 3.75” x 5.125”. 4 Ct 1712 $5.00"
"1716","Gentell Vitamin A&D+E Ointment 13 oz. Protects and soothes minor burns, skin irritations, chapping, rashes.","1 Ct","$10.00","Skin Care + Hair Care","26","false","Gentell Vitamin A&D+E Ointment 13 oz. Protects and soothes minor burns, skin irritations, chapping, rashes. 1 Ct 1716 $10.00"
"1718","Remedy Essentials Cornstarch Body Powder 14 oz. Non-caking formula goes on soft and rinses off easily. Lightly scented.","14 Oz","$5.00","Skin Care + Hair Care","25","false","Remedy Essentials Cornstarch Body Powder 14 oz. Non-caking formula goes on soft and rinses off easily. Lightly scented. 14 Oz 1718 $5.00"
"1719","Medline FitRight Aloe Quilted Personal Wipes Thick 8” x 12” wipes cleanse, moisturize and soothe. Unscented.","48 Ct","$5.00","Sunscreens","27","true","Medline FitRight Aloe Quilted Personal Wipes Thick 8” x 12” wipes cleanse, moisturize and soothe. Unscented. 48 Ct 1719 $5.00"
"1723","Medline Ultrasoft Disposable Dry Cleansing Cloths Multipurpose - add water to gently cleanse. Do not flush. 12” x 14”. Unscented.","90 Ct","$5.00","Sunscreens","27","true","Medline Ultrasoft Disposable Dry Cleansing Cloths Multipurpose - add water to gently cleanse. Do not flush. 12” x 14”. Unscented. 90 Ct 1723 $5.00"
"1743","Alpha Lipoic Acid Capsules 300 mg Dietary supplement.","50 Ct","$20.00","Daily Living Aids","29","false","Alpha Lipoic Acid Capsules 300 mg Dietary supplement. 50 Ct 1743 $20.00"
"1750","21st Century Vitamin C-500 Chewable Tablets 500 mg Orange flavor.","110 Ct","$10.00","Daily Living Aids","30","false","21st Century Vitamin C-500 Chewable Tablets 500 mg Orange flavor. 110 Ct 1750 $10.00"
"1859","Medline FitRight Aloe Personal Wipes Gentle aloe-based formula. Standard weight. 8” x 10”. Unscented.","600 Ct","$30.00","Sunscreens","27","true","Medline FitRight Aloe Personal Wipes Gentle aloe-based formula. Standard weight. 8” x 10”. Unscented. 600 Ct 1859 $30.00"
"1873","Waxed Dental Floss 100 yd. Pack of 2. Mint flavor.","2 Ct","$5.00","Oral Care","23","false","Waxed Dental Floss 100 yd. Pack of 2. Mint flavor. 2 Ct 1873 $5.00"
"2045","MyDerm Aloe Gel 16 oz. Cools and soothes skin. Helps restore moisture.","16 Oz","$10.00","Sunscreens","26","false","MyDerm Aloe Gel 16 oz. Cools and soothes skin. Helps restore moisture. 16 Oz 2045 $10.00"
"2046","Medline Remedy Specialized Silicone Skin Cream 4oz. Moisture barrier for use on even fragile skin. 12.5% dimethicone. Unscented. 4 oz.","4 Oz","$5.00","Skin Care + Hair Care","25","true","Medline Remedy Specialized Silicone Skin Cream 4oz. Moisture barrier for use on even fragile skin. 12.5% dimethicone. Unscented. 4 oz. 4 Oz 2046 $5.00"
"2059","Omeprazole Delayed-Release Antacid Capsules 20 mg 3 14-day courses of treatment. Compare to the active ingredient in Prilosec OTC.","42 Ct","$20.00","Stomach Remedies","16","false","Omeprazole Delayed-Release Antacid Capsules 20 mg 3 14-day courses of treatment. Compare to the active ingredient in Prilosec OTC. 42 Ct 2059 $20.00"
"2073","Letter Vitamins 21st Century Vitamin B Complex with Vitamin C Tablets Multivitamin formula.","100 Ct","$9.00","Daily Living Aids","30","false","Letter Vitamins 21st Century Vitamin B Complex with Vitamin C Tablets Multivitamin formula. 100 Ct 2073 $9.00"
"2079","Major High Blood Pressure Cough & Cold Tablets Compare to the active ingredients in Coricidin HBP Cough & Cold.","16 Ct","$7.00","Allergy & Sinus","13","false","Major High Blood Pressure Cough & Cold Tablets Compare to the active ingredients in Coricidin HBP Cough & Cold. 16 Ct 2079 $7.00"
"2173","PreserVision AREDS 2 Eye Vitamin Mini Softgels Easier-to-swallow mini softgels. #1 doctor recommended brand.","60 Ct","$30.00","Daily Living Aids","31","false","PreserVision AREDS 2 Eye Vitamin Mini Softgels Easier-to-swallow mini softgels. #1 doctor recommended brand. 60 Ct 2173 $30.00"
"2188","Medline Pistol Grip Reacher Extends your reach by 2 feet to grasp lightweight objects. 26” long.","1 Ct","$10.00","Daily Living Aids","28","true","Medline Pistol Grip Reacher Extends your reach by 2 feet to grasp lightweight objects. 26” long. 1 Ct 2188 $10.00"
"2251","Mucinex Fast-Max DM Cold & Cough Syrup 6 oz. Helps control cough, relieve chest congestion, thin mucus.","6 Oz","$24.00","Allergy & Sinus","13","false","Mucinex Fast-Max DM Cold & Cough Syrup 6 oz. Helps control cough, relieve chest congestion, thin mucus. 6 Oz 2251 $24.00"
"2252","Sentry Senior Multivitamin Mineral Age 50+ Compare to the active ingredients in Centrum SILVER Adults.","60 Ct","$10.00","Daily Living Aids","31","false","Sentry Senior Multivitamin Mineral Age 50+ Compare to the active ingredients in Centrum SILVER Adults. 60 Ct 2252 $10.00"
"2260","Natural Psyllium Fiber Powder Supplement 13 oz. Compare to the active ingredient in Metamucil. Orange flavor.","13 Oz","$15.00","Daily Living Aids","29","false","Natural Psyllium Fiber Powder Supplement 13 oz. Compare to the active ingredient in Metamucil. Orange flavor. 13 Oz 2260 $15.00"
"2312","Medline ReadyBath Fresh Bathing Wipes One 8-pack cleanses entire body. Standard weight 8” x 8” cloths. Unscented.","8 Ct","$2.50","Sunscreens","26","true","Medline ReadyBath Fresh Bathing Wipes One 8-pack cleanses entire body. Standard weight 8” x 8” cloths. Unscented. 8 Ct 2312 $2.50"
"2316","Wipes & Cloths Medline Remedy Clinical Barrier Cream Cloths 3-in-1 skin protectant wipe with 3.6% dimethicone. 8” x 12”. Vanilla scent.","48 Ct","$10.00","Sunscreens","26","true","Wipes & Cloths Medline Remedy Clinical Barrier Cream Cloths 3-in-1 skin protectant wipe with 3.6% dimethicone. 8” x 12”. Vanilla scent. 48 Ct 2316 $10.00"
"2318","GeriCare Oral Probiotic Capsules 250 mg Saccharomyces boulardii - the probiotic found in Florastor.","50 Ct","$40.00","Daily Living Aids","32","false","GeriCare Oral Probiotic Capsules 250 mg Saccharomyces boulardii - the probiotic found in Florastor. 50 Ct 2318 $40.00"
"3319","Face Covering Medline ASTM Level 1 3-Ply Face Mask Medical-grade with metal nosepiece and ear loops. Yellow.","50 Ct","$10.00","Daily Living Aids","28","true","Face Covering Medline ASTM Level 1 3-Ply Face Mask Medical-grade with metal nosepiece and ear loops. Yellow. 50 Ct 3319 $10.00"
"3321","Crest Cavity Protection Toothpaste 4.2 oz. Helps stop cavities and freshens breath. Travel size. Regular flavor.","1 Ct","$10.00","Oral Care","24","false","Crest Cavity Protection Toothpaste 4.2 oz. Helps stop cavities and freshens breath. Travel size. Regular flavor. 1 Ct 3321 $10.00"
"3383","Oxygen Therapy Medline Fiber Filled CPAP Pillow Designed to let mask and hose hang over side of pillow. 21”L x 15”W x 4”H.","1 Ct","$42.00","Daily Living Aids","29","true","Oxygen Therapy Medline Fiber Filled CPAP Pillow Designed to let mask and hose hang over side of pillow. 21”L x 15”W x 4”H. 1 Ct 3383 $42.00"
"3436","Medline Remedy Clinical Lip Balm Soothes and protects with shea butter, aloe, botanicals and jojoba oil. Citrus flavor.","1 Ct","$4.50","Foot Care","22","true","Medline Remedy Clinical Lip Balm Soothes and protects with shea butter, aloe, botanicals and jojoba oil. Citrus flavor. 1 Ct 3436 $4.50"
"3460","Medline FitGuard Touch Nitrile Exam Gloves Fully textured. Touchscreen sensitive. Dark blue. Large.","100 Ct","$10.00","Daily Living Aids","29","true","Medline FitGuard Touch Nitrile Exam Gloves Fully textured. Touchscreen sensitive. Dark blue. Large. 100 Ct 3460 $10.00"
"3461","Gloves Medline FitGuard Touch Nitrile Exam Gloves Fully textured. Touchscreen sensitive. Dark blue. Medium.","100 Ct","$10.00","Daily Living Aids","29","true","Gloves Medline FitGuard Touch Nitrile Exam Gloves Fully textured. Touchscreen sensitive. Dark blue. Medium. 100 Ct 3461 $10.00"
"3691","Pink-Bismuth Chewable Tablets Compare to the active ingredient in Pepto-Bismol.","30 Ct","$5.00","Stomach Remedies","16","false","Pink-Bismuth Chewable Tablets Compare to the active ingredient in Pepto-Bismol. 30 Ct 3691 $5.00"
"3730","VitaJoy Melatonin Gummies Sleep Support 2.5 mg Gluten-free. Strawberry flavor.","120 Ct","$15.00","Daily Living Aids","32","false","VitaJoy Melatonin Gummies Sleep Support 2.5 mg Gluten-free. Strawberry flavor. 120 Ct 3730 $15.00"
"3766","Crest Pro-Health Multi-Protect CPC Oral Rinse 1.5L Alcohol-free mouthwash kills 99% of germs. Clean mint flavor.","1 Ct","$16.50","Oral Care","24","false","Crest Pro-Health Multi-Protect CPC Oral Rinse 1.5L Alcohol-free mouthwash kills 99% of germs. Clean mint flavor. 1 Ct 3766 $16.50"
"3771","Bausch + Lomb Adv Eye Relief Dry Eye Drops 30 mL Fast relief from dry eyes. Replenishes tears.","1 Oz","$23.50","Eye Care","21","false","Bausch + Lomb Adv Eye Relief Dry Eye Drops 30 mL Fast relief from dry eyes. Replenishes tears. 1 Oz 3771 $23.50"
"3777","Cottonelle Flushable Wipes Biodegradable, flushable, alcohol-free. 14 wipes in an individual travel pack.","14 Ct","$5.00","Sunscreens","26","false","Cottonelle Flushable Wipes Biodegradable, flushable, alcohol-free. 14 wipes in an individual travel pack. 14 Ct 3777 $5.00"
"3783","Bausch & Lomb Soothe Lubricant Eye Drops Long-lasting relief. Preservative-free. Sterile, single-use doses.","28 Ct","$22.50","Eye Care","21","false","Bausch & Lomb Soothe Lubricant Eye Drops Long-lasting relief. Preservative-free. Sterile, single-use doses. 28 Ct 3783 $22.50"
"3823","Biofreeze Pain Relieving Gel Roll-on 2.5 oz. Cooling pain relief from backaches, arthritis, sore muscles. Menthol.","3 Oz","$17.00","Pain & Fever Relief","16","false","Biofreeze Pain Relieving Gel Roll-on 2.5 oz. Cooling pain relief from backaches, arthritis, sore muscles. Menthol. 3 Oz 3823 $17.00"
"3864","Tylenol Regular Strength Tablets 325 mg Temporary relief of minor aches, arthritis, headache.","100 Ct","$18.00","Pain & Fever Relief","14","false","Tylenol Regular Strength Tablets 325 mg Temporary relief of minor aches, arthritis, headache. 100 Ct 3864 $18.00"
"3945","Bedding & Linens Medline Hypoallergenic Pillow Washable with 100% cotton cover. 20” x 26”.","1 Ct","$25.00","Home Health Care","9","true","Bedding & Linens Medline Hypoallergenic Pillow Washable with 100% cotton cover. 20” x 26”. 1 Ct 3945 $25.00"
"4165","CURAD Back Support with Dual-Pulley System Low-profile design is ideal for pulled muscles, sprains or strains. Metal stays for added support. L/XL (37”-44”).","1 Ct","$25.00","Sunscreens","27","false","CURAD Back Support with Dual-Pulley System Low-profile design is ideal for pulled muscles, sprains or strains. Metal stays for added support. L/XL (37”-44”). 1 Ct 4165 $25.00"
"4166","CURAD Back Support with Dual-Pulley System Low-profile design is ideal for pulled muscles, sprains or strains. Metal stays for added support. S/M (28”-36”).","1 Ct","$25.00","Sunscreens","27","false","CURAD Back Support with Dual-Pulley System Low-profile design is ideal for pulled muscles, sprains or strains. Metal stays for added support. S/M (28”-36”). 1 Ct 4166 $25.00"
"4169","Fixodent Original Denture Adhesive Cream 2.4 oz. Strong all-day hold.","1 Ct","$11.00","Oral Care","23","false","Fixodent Original Denture Adhesive Cream 2.4 oz. Strong all-day hold. 1 Ct 4169 $11.00"
"5015","Medline Remedy Specialized Skin Cream 4 oz. All-over body cream with 1.5% dimethicone. Unscented.","4 Oz","$10.00","Skin Care + Hair Care","25","true","Medline Remedy Specialized Skin Cream 4 oz. All-over body cream with 1.5% dimethicone. Unscented. 4 Oz 5015 $10.00"
"5028","Medical Nutrition Nutritional Shake Chocolate 8 oz. Nutritionally comparable to Ensure Original. 220 calories, 6 g fat, 32 g carbohydrate, and 9 g protein.","24 Ct","$45.00","Nutrition","18","false","Medical Nutrition Nutritional Shake Chocolate 8 oz. Nutritionally comparable to Ensure Original. 220 calories, 6 g fat, 32 g carbohydrate, and 9 g protein. 24 Ct 5028 $45.00"
"5029","Nutritional Shake Vanilla 8 oz. Nutritionally comparable to Ensure Original. 220 calories, 6 g fat, 32 g carbohydrate, and 9 g protein.","24 Ct","$45.00","Nutrition","18","false","Nutritional Shake Vanilla 8 oz. Nutritionally comparable to Ensure Original. 220 calories, 6 g fat, 32 g carbohydrate, and 9 g protein. 24 Ct 5029 $45.00"
"5030","Robafen CF Multi-Symptom Cough Cold Medicine 4 oz. Guaifenesin, dextromethorphan and phenylephrine for multi-symptom relief.","4 Oz","$4.00","Allergy & Sinus","13","false","Robafen CF Multi-Symptom Cough Cold Medicine 4 oz. Guaifenesin, dextromethorphan and phenylephrine for multi-symptom relief. 4 Oz 5030 $4.00"
"5061","Ready in Case Simethicone Gas Relief Softgels 180 mg Ultra strength. Compare to the active ingredient in Phazyme Ultra Strength.","60 Ct","$10.00","Stomach Remedies","17","false","Ready in Case Simethicone Gas Relief Softgels 180 mg Ultra strength. Compare to the active ingredient in Phazyme Ultra Strength. 60 Ct 5061 $10.00"
"5063","Medline Loperamide Anti-Diarrheal Caplets 2 mg Compare to the active ingredients in Imodium A-D.","12 Ct","$5.00","Stomach Remedies","17","true","Medline Loperamide Anti-Diarrheal Caplets 2 mg Compare to the active ingredients in Imodium A-D. 12 Ct 5063 $5.00"
"6003","Physical Therapy Braces & Supports CURAD IRONMAN Elastic Pull-Over Ankle Support Targeted compression plus infrared technology. S/M.","1 Ct","$15.00","Sunscreens","27","false","Physical Therapy Braces & Supports CURAD IRONMAN Elastic Pull-Over Ankle Support Targeted compression plus infrared technology. S/M. 1 Ct 6003 $15.00"
"6007","CURAD Back Support with Dual-Pulley System Customized fit and compression for pulled muscles. Metal stays. Black. 2XL.","1 Ct","$25.00","Sunscreens","27","false","CURAD Back Support with Dual-Pulley System Customized fit and compression for pulled muscles. Metal stays. Black. 2XL. 1 Ct 6007 $25.00"
"6012","Hydrogen Peroxide 3% 16 oz. First aid cleanser.","16 Oz","$5.00","Antibiotics & Antiseptics","6","false","Hydrogen Peroxide 3% 16 oz. First aid cleanser. 16 Oz 6012 $5.00"
